Ref,Val,Package,PosX,PosY,Rot,Side
SW4,PTS810_SJM_250_SMTR_LFS,SW_PTS810_SJM_250_SMTR_LFS,29.175,-97,-90,top
U1,STM32H563VIT6,STM32H563VIT6,27,-31.75,0,top
U2,SX1262IMLTRT,SX1262,7.2839,-54.2161,0,top
U3,PE4259,SOT-363_SC-70-6,6.5,-34.95,90,top
U4,ESP32-C6,ESP32-C6,38.85,-72.055,90,top
U5,BMI323,BMI323,27.7693,-50.024999,0,top
U6,BME280,Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering,34.75,-50,0,top
U7,BQ24090DGQR,IC_XTR111AIDGQR,22.85,-72.2,90,top
U8,W25Q32JVSSIQ,W25Q32JVSSIQ,39.5,-58,-90,top
U9,USBLC6-2SC6,SOT-23-6,23,-91,90,top
U10,VL53L4CXV0DH_1,VL53L4CXV0DH_1,-8.5995,-90.35,-90,top
U11,TPS79533DCQR,TPS79533DCQR,13.755,-73.75,0,top
XTAL2,SC32S-7PF20PPM,SC32S-7PF20PPM,29,-80.25,180,top
Y1,ECS-320-10-36B-7KM-TR,ECS-320-10-36B-CKM-TR,2.4,-55.7,0,top
Y2,ECS-400-10-37B2-CKY-TR,ECS-400-10-37B2-CKY-TR,29.75,-74,90,top
Y3,ECS-80-18-23B-JTN-TR,ECS-80-18-23B-JTN-TR,14.25,-31.5,0,top
